cell_id,task,condition,run_idx,phase,model_short_name,persona_or_neutral,model_id_used,used_fallback,attempts,latency_ms,timestamp_iso,prompt_tokens,completion_tokens,cost_usd
B_P_run1,B,P,1,phase1_freeresponse,M2,E,openai/gpt-5.5,False,1,19876,2026-05-20T17:20:12.089027,457,851,0.027815
B_P_run1,B,P,1,phase1_freeresponse,M3,H,google/gemini-3.1-pro-preview,False,1,20598,2026-05-20T17:20:31.971706,465,1698,0.021306000000000002
B_P_run1,B,P,1,phase1_freeresponse,M4,C,deepseek/deepseek-v4-pro,False,1,33112,2026-05-20T17:20:52.579594,452,981,0.00105009
B_P_run1,B,P,1,phase1_freeresponse,M5,Q,moonshotai/kimi-k2.6,False,2,165506,2026-05-20T17:21:25.698867,464,2858,0.01031314
B_P_run1,B,P,1,phase3_constructs,M1,S,anthropic/claude-opus-4.7,False,1,6314,2026-05-20T17:25:01.507531,1191,226,0.011605
B_P_run1,B,P,1,phase3_constructs,M2,E,openai/gpt-5.5,False,1,14277,2026-05-20T17:25:07.831840,751,596,0.021635
B_P_run1,B,P,1,phase3_constructs,M3,H,google/gemini-3.1-pro-preview,False,1,21165,2026-05-20T17:25:22.117887,748,1996,0.025448000000000002
B_P_run1,B,P,1,phase3_constructs,M4,C,deepseek/deepseek-v4-pro,False,1,50162,2026-05-20T17:25:43.293677,743,1444,0.001579485
B_P_run1,B,P,1,phase3_constructs,M5,Q,moonshotai/kimi-k2.5,True,4,154306,2026-05-20T17:26:33.465556,758,7870,0.015256200000000001
B_P_run1,B,P,1,phase4_ratings,M1,S,anthropic/claude-opus-4.7,False,1,8921,2026-05-20T17:31:02.981227,2135,843,0.03175
B_P_run1,B,P,1,phase4_ratings,M2,E,openai/gpt-5.5,False,1,33545,2026-05-20T17:31:11.916220,1334,2257,0.07438
B_P_run1,B,P,1,phase4_ratings,M3,H,google/gemini-3.1-pro-preview,False,1,16967,2026-05-20T17:31:45.473721,1372,2496,0.032696
B_P_run1,B,P,1,phase4_ratings,M4,C,deepseek/deepseek-v4-pro,False,1,93448,2026-05-20T17:32:02.495350,1318,3204,0.00336081
B_P_run2,B,P,2,phase1_freeresponse,M1,S,anthropic/claude-opus-4.7,False,1,16708,2026-05-20T00:16:34.947428,776,735,0.022255000000000004
B_P_run2,B,P,2,phase1_freeresponse,M2,E,openai/gpt-5.5,False,1,15805,2026-05-20T00:16:51.665495,457,633,0.021275
B_P_run2,B,P,2,phase1_freeresponse,M3,H,google/gemini-3.1-pro-preview,False,1,8735,2026-05-20T00:17:07.480419,465,796,0.010482
B_P_run2,B,P,2,phase1_freeresponse,M4,C,deepseek/deepseek-v4-pro,False,1,27205,2026-05-20T00:17:16.225980,452,1423,0.00143463
